"id","date","state_name","state_code","airport","freight"
0,"2022-01-01","West Bengal","19","Kolkata",3088.0
1,"2022-01-01","Tamil Nadu","33","Chennai",20054.0
2,"2022-01-01","Goa","30","Goa",93.0
3,"2022-01-01","Jammu and Kashmir","1","Srinagar",0.0
4,"2022-01-01","Odisha","21","Bhubaneswar",0.0
5,"2022-01-01","Uttar Pradesh","9","Varanasi",56.0
6,"2022-01-01","Kerala","32","Calicut",779.0
7,"2022-01-01","Punjab","3","Amritsar",62.0
8,"2022-01-01","Tamil Nadu","33","Coimbatore",107.0
9,"2022-01-01","Andhra Pradesh","28","Vijayawada",0.0
10,"2022-01-01","Manipur","14","Imphal",0.0
11,"2022-01-01","Andaman and Nicobar Islands","35","Portblair",0.0
12,"2022-01-01","Tamil Nadu","33","Trichy",500.0
13,"2022-01-01","Andhra Pradesh","28","Tirupati",0.0
14,"2022-01-01","Uttar Pradesh","9","Kushinagar",0.0
15,"2022-01-01","Gujarat","24","Ahmedabad",4061.0
16,"2022-01-01","Uttar Pradesh","9","Lucknow",232.0
17,"2022-01-01","Karnataka","29","Manglore",108.0
18,"2022-01-01","Assam","18","Guwahati",0.0
19,"2022-01-01","Rajasthan","8","Jaipur",14.0
20,"2022-01-01","Kerala","32","Trivandrum",874.0
21,"2022-01-01","Delhi","7","Delhi",48129.0
22,"2022-01-01","Maharashtra","27","Mumbai",41803.0
23,"2022-01-01","Karnataka","29","Bangalore",21710.0
24,"2022-01-01","Telangana","36","Hyderabad",5711.0
25,"2022-01-01","Kerala","32","Cochin",3386.0
26,"2022-01-01","Maharashtra","27","Nagpur",4.0
27,"2022-01-01","Kerala","32","Kannur",265.0
28,"2022-01-01","Bihar","10","Patna",0.0
29,"2022-01-01","Maharashtra","27","Pune",0.0
30,"2022-01-01","West Bengal","19","Bagdora",0.0
31,"2022-01-01","Chandigarh","4","Chandigarh",0.0
32,"2022-01-01","Andhra Pradesh","28","Visakhapatnam",2.0
33,"2022-01-01","Madhya Pradesh","23","Indore",10.0
34,"2022-01-01","Tamil Nadu","33","Madurai",28.0
35,"2022-01-01","Gujarat","24","Surat",0.0
36,"2022-01-01","Maharashtra","27","Aurangabad",0.0
37,"2022-01-01","Bihar","10","Gaya",0.0
38,"2022-02-01","West Bengal","19","Kolkata",2870.0
39,"2022-02-01","Tamil Nadu","33","Chennai",19209.0
40,"2022-02-01","Goa","30","Goa",97.0
41,"2022-02-01","Jammu and Kashmir","1","Srinagar",0.0
42,"2022-02-01","Odisha","21","Bhubaneswar",0.0
43,"2022-02-01","Uttar Pradesh","9","Varanasi",8.0
44,"2022-02-01","Kerala","32","Calicut",671.0
45,"2022-02-01","Punjab","3","Amritsar",77.0
46,"2022-02-01","Tamil Nadu","33","Coimbatore",71.0
47,"2022-02-01","Andhra Pradesh","28","Vijayawada",0.0
48,"2022-02-01","Manipur","14","Imphal",0.0
49,"2022-02-01","Andaman and Nicobar Islands","35","Portblair",0.0
50,"2022-02-01","Tamil Nadu","33","Trichy",500.0
51,"2022-02-01","Andhra Pradesh","28","Tirupati",0.0
52,"2022-02-01","Uttar Pradesh","9","Kushinagar",0.0
53,"2022-02-01","Gujarat","24","Ahmedabad",4192.0
54,"2022-02-01","Uttar Pradesh","9","Lucknow",217.0
55,"2022-02-01","Karnataka","29","Manglore",114.0
56,"2022-02-01","Assam","18","Guwahati",0.0
57,"2022-02-01","Rajasthan","8","Jaipur",16.0
58,"2022-02-01","Kerala","32","Trivandrum",1124.0
59,"2022-02-01","Delhi","7","Delhi",43246.0
60,"2022-02-01","Maharashtra","27","Mumbai",41449.0
61,"2022-02-01","Karnataka","29","Bangalore",20981.0
62,"2022-02-01","Telangana","36","Hyderabad",6270.0
63,"2022-02-01","Kerala","32","Cochin",3424.0
64,"2022-02-01","Maharashtra","27","Nagpur",35.0
65,"2022-02-01","Kerala","32","Kannur",409.0
66,"2022-02-01","Bihar","10","Patna",0.0
67,"2022-02-01","Maharashtra","27","Pune",0.0
68,"2022-02-01","West Bengal","19","Bagdora",0.0
69,"2022-02-01","Chandigarh","4","Chandigarh",0.0
70,"2022-02-01","Andhra Pradesh","28","Visakhapatnam",6.0
71,"2022-02-01","Madhya Pradesh","23","Indore",4.0
72,"2022-02-01","Tamil Nadu","33","Madurai",51.0
73,"2022-02-01","Gujarat","24","Surat",0.0
74,"2022-02-01","Maharashtra","27","Aurangabad",0.0
75,"2022-02-01","Bihar","10","Gaya",0.0
76,"2022-03-01","West Bengal","19","Kolkata",4095.0
77,"2022-03-01","Tamil Nadu","33","Chennai",24485.0
78,"2022-03-01","Goa","30","Goa",111.0
79,"2022-03-01","Jammu and Kashmir","1","Srinagar",0.0
80,"2022-03-01","Odisha","21","Bhubaneswar",0.0
81,"2022-03-01","Uttar Pradesh","9","Varanasi",2.0
82,"2022-03-01","Kerala","32","Calicut",811.0
83,"2022-03-01","Punjab","3","Amritsar",78.0
84,"2022-03-01","Tamil Nadu","33","Coimbatore",85.0
85,"2022-03-01","Andhra Pradesh","28","Vijayawada",0.0
86,"2022-03-01","Manipur","14","Imphal",0.0
87,"2022-03-01","Andaman and Nicobar Islands","35","Portblair",0.0
88,"2022-03-01","Tamil Nadu","33","Trichy",555.0
89,"2022-03-01","Andhra Pradesh","28","Tirupati",0.0
90,"2022-03-01","Uttar Pradesh","9","Kushinagar",0.0
91,"2022-03-01","Gujarat","24","Ahmedabad",4891.0
92,"2022-03-01","Uttar Pradesh","9","Lucknow",256.0
93,"2022-03-01","Karnataka","29","Manglore",135.0
94,"2022-03-01","Assam","18","Guwahati",0.0
95,"2022-03-01","Rajasthan","8","Jaipur",12.0
96,"2022-03-01","Kerala","32","Trivandrum",1164.0
97,"2022-03-01","Delhi","7","Delhi",52551.0
98,"2022-03-01","Maharashtra","27","Mumbai",49468.0
99,"2022-03-01","Karnataka","29","Bangalore",23843.0
100,"2022-03-01","Telangana","36","Hyderabad",7148.0
101,"2022-03-01","Kerala","32","Cochin",4284.0
102,"2022-03-01","Maharashtra","27","Nagpur",3.0
103,"2022-03-01","Kerala","32","Kannur",370.0
104,"2022-03-01","Bihar","10","Patna",0.0
105,"2022-03-01","Maharashtra","27","Pune",5.0
106,"2022-03-01","West Bengal","19","Bagdora",0.0
107,"2022-03-01","Chandigarh","4","Chandigarh",0.0
108,"2022-03-01","Andhra Pradesh","28","Visakhapatnam",1.0
109,"2022-03-01","Madhya Pradesh","23","Indore",8.0
110,"2022-03-01","Tamil Nadu","33","Madurai",37.0
111,"2022-03-01","Gujarat","24","Surat",0.0
112,"2022-03-01","Maharashtra","27","Aurangabad",0.0
113,"2022-03-01","Bihar","10","Gaya",0.0
114,"2022-04-01","West Bengal","19","Kolkata",3570.0
115,"2022-04-01","Tamil Nadu","33","Chennai",23249.0
116,"2022-04-01","Goa","30","Goa",173.0
117,"2022-04-01","Jammu and Kashmir","1","Srinagar",0.0
118,"2022-04-01","Odisha","21","Bhubaneswar",0.0
119,"2022-04-01","Uttar Pradesh","9","Varanasi",4.0
120,"2022-04-01","Kerala","32","Calicut",863.0
121,"2022-04-01","Punjab","3","Amritsar",142.0
122,"2022-04-01","Tamil Nadu","33","Coimbatore",73.0
123,"2022-04-01","Andhra Pradesh","28","Vijayawada",0.0
124,"2022-04-01","Manipur","14","Imphal",0.0
125,"2022-04-01","Andaman and Nicobar Islands","35","Portblair",0.0
126,"2022-04-01","Tamil Nadu","33","Trichy",0.0
127,"2022-04-01","Andhra Pradesh","28","Tirupati",517.0
128,"2022-04-01","Uttar Pradesh","9","Kushinagar",0.0
129,"2022-04-01","Gujarat","24","Ahmedabad",4184.0
130,"2022-04-01","Uttar Pradesh","9","Lucknow",382.0
131,"2022-04-01","Karnataka","29","Manglore",0.0
132,"2022-04-01","Assam","18","Guwahati",16.0
133,"2022-04-01","Rajasthan","8","Jaipur",1255.0
134,"2022-04-01","Kerala","32","Trivandrum",195.0
135,"2022-04-01","Delhi","7","Delhi",50844.0
136,"2022-04-01","Maharashtra","27","Mumbai",46532.0
137,"2022-04-01","Karnataka","29","Bangalore",20416.0
138,"2022-04-01","Telangana","36","Hyderabad",6627.0
139,"2022-04-01","Kerala","32","Cochin",5172.0
140,"2022-04-01","Maharashtra","27","Nagpur",12.0
141,"2022-04-01","Kerala","32","Kannur",299.0
142,"2022-04-01","Bihar","10","Patna",5.0
143,"2022-04-01","Maharashtra","27","Pune",0.0
144,"2022-05-01","West Bengal","19","Bagdora",0.0
145,"2022-05-01","Chandigarh","4","Chandigarh",0.0
146,"2022-05-01","Andhra Pradesh","28","Visakhapatnam",9.0
147,"2022-05-01","Madhya Pradesh","23","Indore",3.0
148,"2022-05-01","Tamil Nadu","33","Madurai",0.0
149,"2022-05-01","Gujarat","24","Surat",113.0
150,"2022-05-01","Maharashtra","27","Aurangabad",0.0
151,"2022-05-01","Bihar","10","Gaya",0.0
152,"2022-05-01","West Bengal","19","Kolkata",2843.0
153,"2022-05-01","Tamil Nadu","33","Chennai",22267.0
154,"2022-05-01","Goa","30","Goa",205.0
155,"2022-05-01","Jammu and Kashmir","1","Srinagar",0.0
156,"2022-05-01","Odisha","21","Bhubaneswar",0.0
157,"2022-05-01","Uttar Pradesh","9","Varanasi",3.0
158,"2022-05-01","Kerala","32","Calicut",987.0
159,"2022-05-01","Punjab","3","Amritsar",136.0
160,"2022-05-01","Tamil Nadu","33","Coimbatore",68.0
161,"2022-05-01","Andhra Pradesh","28","Vijayawada",0.0
162,"2022-05-01","Manipur","14","Imphal",0.0
163,"2022-05-01","Andaman and Nicobar Islands","35","Portblair",0.0
164,"2022-05-01","Tamil Nadu","33","Trichy",0.0
165,"2022-05-01","Andhra Pradesh","28","Tirupati",508.0
166,"2022-05-01","Uttar Pradesh","9","Kushinagar",0.0
167,"2022-05-01","Gujarat","24","Ahmedabad",4145.0
168,"2022-05-01","Uttar Pradesh","9","Lucknow",252.0
169,"2022-05-01","Karnataka","29","Manglore",0.0
170,"2022-05-01","Assam","18","Guwahati",17.0
171,"2022-05-01","Rajasthan","8","Jaipur",1094.0
172,"2022-05-01","Kerala","32","Trivandrum",143.0
173,"2022-05-01","Delhi","7","Delhi",46085.0
174,"2022-05-01","Maharashtra","27","Mumbai",46032.0
175,"2022-05-01","Karnataka","29","Bangalore",21492.0
176,"2022-05-01","Telangana","36","Hyderabad",6135.0
177,"2022-05-01","Kerala","32","Cochin",3768.0
178,"2022-05-01","Maharashtra","27","Nagpur",4.0
179,"2022-05-01","Kerala","32","Kannur",340.0
180,"2022-05-01","Bihar","10","Patna",4.0
181,"2022-05-01","Maharashtra","27","Pune",0.0
182,"2022-05-01","Andhra Pradesh","28","Visakhapatnam",1.0
183,"2022-05-01","Madhya Pradesh","23","Indore",1.0
184,"2022-05-01","Gujarat","24","Surat",116.0
185,"2021-01-01","West Bengal","19","Kolkata",3512.0
186,"2021-01-01","Tamil Nadu","33","Chennai",21525.0
187,"2021-01-01","Goa","30","Goa",9.0
188,"2021-01-01","Jammu and Kashmir","1","Srinagar",0.0
189,"2021-01-01","Odisha","21","Bhubaneswar",0.0
190,"2021-01-01","Uttar Pradesh","9","Varanasi",3.0
191,"2021-01-01","Kerala","32","Calicut",607.0
192,"2021-01-01","Punjab","3","Amritsar",34.0
193,"2021-01-01","Tamil Nadu","33","Coimbatore",43.0
194,"2021-01-01","Andhra Pradesh","28","Vijayawada",0.0
195,"2021-01-01","Manipur","14","Imphal",0.0
196,"2021-01-01","Andaman and Nicobar Islands","35","Portblair",0.0
197,"2021-01-01","Tamil Nadu","33","Trichy",276.0
198,"2021-01-01","Andhra Pradesh","28","Tirupati",0.0
199,"2021-01-01","Uttar Pradesh","9","Kushinagar",0.0
200,"2021-01-01","Gujarat","24","Ahmedabad",3031.0
201,"2021-01-01","Uttar Pradesh","9","Lucknow",61.0
202,"2021-01-01","Karnataka","29","Manglore",28.0
203,"2021-01-01","Assam","18","Guwahati",0.0
204,"2021-01-01","Rajasthan","8","Jaipur",63.0
205,"2021-01-01","Kerala","32","Trivandrum",992.0
206,"2021-01-01","Delhi","7","Delhi",43810.0
207,"2021-01-01","Maharashtra","27","Mumbai",41721.0
208,"2021-01-01","Karnataka","29","Bangalore",19259.0
209,"2021-01-01","Telangana","36","Hyderabad",5892.0
210,"2021-01-01","Kerala","32","Cochin",2708.0
211,"2021-01-01","Maharashtra","27","Nagpur",0.0
212,"2021-01-01","Kerala","32","Kannur",0.0
213,"2021-01-01","Bihar","10","Patna",0.0
214,"2021-01-01","Maharashtra","27","Pune",0.0
215,"2021-01-01","West Bengal","19","Bagdora",0.0
216,"2021-01-01","Chandigarh","4","Chandigarh",0.0
217,"2021-01-01","Andhra Pradesh","28","Visakhapatnam",1.0
218,"2021-01-01","Madhya Pradesh","23","Indore",11.0
219,"2021-01-01","Tamil Nadu","33","Madurai",33.0
220,"2021-01-01","Gujarat","24","Surat",0.0
221,"2021-01-01","Maharashtra","27","Aurangabad",0.0
222,"2021-01-01","Bihar","10","Gaya",0.0
223,"2021-02-01","West Bengal","19","Kolkata",2969.0
224,"2021-02-01","Tamil Nadu","33","Chennai",21769.0
225,"2021-02-01","Goa","30","Goa",5.0
226,"2021-02-01","Jammu and Kashmir","1","Srinagar",0.0
227,"2021-02-01","Odisha","21","Bhubaneswar",0.0
228,"2021-02-01","Uttar Pradesh","9","Varanasi",1.0
229,"2021-02-01","Kerala","32","Calicut",603.0
230,"2021-02-01","Punjab","3","Amritsar",35.0
231,"2021-02-01","Tamil Nadu","33","Coimbatore",43.0
232,"2021-02-01","Andhra Pradesh","28","Vijayawada",0.0
233,"2021-02-01","Manipur","14","Imphal",0.0
234,"2021-02-01","Andaman and Nicobar Islands","35","Portblair",0.0
235,"2021-02-01","Tamil Nadu","33","Trichy",307.0
236,"2021-02-01","Andhra Pradesh","28","Tirupati",0.0
237,"2021-02-01","Uttar Pradesh","9","Kushinagar",0.0
238,"2021-02-01","Gujarat","24","Ahmedabad",3189.0
239,"2021-02-01","Uttar Pradesh","9","Lucknow",130.0
240,"2021-02-01","Karnataka","29","Manglore",18.0
241,"2021-02-01","Assam","18","Guwahati",0.0
242,"2021-02-01","Rajasthan","8","Jaipur",12.0
243,"2021-02-01","Kerala","32","Trivandrum",902.0
244,"2021-02-01","Delhi","7","Delhi",43318.0
245,"2021-02-01","Maharashtra","27","Mumbai",44209.0
246,"2021-02-01","Karnataka","29","Bangalore",19060.0
247,"2021-02-01","Telangana","36","Hyderabad",6248.0
248,"2021-02-01","Kerala","32","Cochin",2758.0
249,"2021-02-01","Maharashtra","27","Nagpur",3.0
250,"2021-02-01","Kerala","32","Kannur",0.0
251,"2021-02-01","Bihar","10","Patna",0.0
252,"2021-02-01","Maharashtra","27","Pune",0.0
253,"2021-02-01","West Bengal","19","Bagdora",0.0
254,"2021-02-01","Chandigarh","4","Chandigarh",0.0
255,"2021-02-01","Andhra Pradesh","28","Visakhapatnam",0.0
256,"2021-02-01","Madhya Pradesh","23","Indore",7.0
257,"2021-02-01","Tamil Nadu","33","Madurai",28.0
258,"2021-02-01","Gujarat","24","Surat",0.0
259,"2021-02-01","Maharashtra","27","Aurangabad",0.0
260,"2021-02-01","Bihar","10","Gaya",0.0
261,"2021-03-01","West Bengal","19","Kolkata",4201.0
262,"2021-03-01","Tamil Nadu","33","Chennai",26770.0
263,"2021-03-01","Goa","30","Goa",4.0
264,"2021-03-01","Jammu and Kashmir","1","Srinagar",0.0
265,"2021-03-01","Odisha","21","Bhubaneswar",0.0
266,"2021-03-01","Uttar Pradesh","9","Varanasi",0.0
267,"2021-03-01","Kerala","32","Calicut",643.0
268,"2021-03-01","Punjab","3","Amritsar",43.0
269,"2021-03-01","Tamil Nadu","33","Coimbatore",68.0
270,"2021-03-01","Andhra Pradesh","28","Vijayawada",0.0
271,"2021-03-01","Manipur","14","Imphal",0.0
272,"2021-03-01","Andaman and Nicobar Islands","35","Portblair",0.0
273,"2021-03-01","Tamil Nadu","33","Trichy",414.0
274,"2021-03-01","Andhra Pradesh","28","Tirupati",0.0
275,"2021-03-01","Uttar Pradesh","9","Kushinagar",0.0
276,"2021-03-01","Gujarat","24","Ahmedabad",3684.0
277,"2021-03-01","Uttar Pradesh","9","Lucknow",90.0
278,"2021-03-01","Karnataka","29","Manglore",58.0
279,"2021-03-01","Assam","18","Guwahati",0.0
280,"2021-03-01","Rajasthan","8","Jaipur",20.0
281,"2021-03-01","Kerala","32","Trivandrum",1132.0
282,"2021-03-01","Delhi","7","Delhi",51631.0
283,"2021-03-01","Maharashtra","27","Mumbai",51579.0
284,"2021-03-01","Karnataka","29","Bangalore",21966.0
285,"2021-03-01","Telangana","36","Hyderabad",6796.0
286,"2021-03-01","Kerala","32","Cochin",3324.0
287,"2021-03-01","Maharashtra","27","Nagpur",0.0
288,"2021-03-01","Kerala","32","Kannur",0.0
289,"2021-03-01","Bihar","10","Patna",0.0
290,"2021-03-01","Maharashtra","27","Pune",0.0
291,"2021-03-01","West Bengal","19","Bagdora",0.0
292,"2021-03-01","Chandigarh","4","Chandigarh",0.0
293,"2021-03-01","Andhra Pradesh","28","Visakhapatnam",0.0
294,"2021-03-01","Madhya Pradesh","23","Indore",10.0
295,"2021-03-01","Tamil Nadu","33","Madurai",34.0
296,"2021-03-01","Gujarat","24","Surat",0.0
297,"2021-03-01","Maharashtra","27","Aurangabad",0.0
298,"2021-03-01","Bihar","10","Gaya",0.0
299,"2021-04-01","West Bengal","19","Kolkata",3446.0
300,"2021-04-01","Tamil Nadu","33","Chennai",24447.0
301,"2021-04-01","Goa","30","Goa",13.0
302,"2021-04-01","Jammu and Kashmir","1","Srinagar",0.0
303,"2021-04-01","Odisha","21","Bhubaneswar",0.0
304,"2021-04-01","Uttar Pradesh","9","Varanasi",0.0
305,"2021-04-01","Kerala","32","Calicut",753.0
306,"2021-04-01","Punjab","3","Amritsar",51.0
307,"2021-04-01","Tamil Nadu","33","Coimbatore",66.0
308,"2021-04-01","Andhra Pradesh","28","Vijayawada",0.0
